country,happiness_rank,happiness_score,economy_gdp_per_capita,health_life_expectancy,freedom,trust_government_corruption,generosity,year
Switzerland,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015
Iceland,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015
Denmark,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015
Norway,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015
Canada,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015
Finland,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015
Netherlands,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015
Sweden,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015
New Zealand,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015
Australia,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015
Israel,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015
Costa Rica,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015
Austria,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015
Mexico,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015
United States,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015
Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015
Luxembourg,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015
Ireland,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015
Belgium,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015
United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015
United Kingdom,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015
Oman,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015
Venezuela,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015
Singapore,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015
Panama,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015
Germany,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015
Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015
Qatar,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015
France,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015
Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015
Czech Republic,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015
Uruguay,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015
Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015
Thailand,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015
Saudi Arabia,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015
Spain,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015
Malta,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015
Taiwan,38,6.298,1.29098,0.8753,0.3974,0.08129,0.25376,2015
Kuwait,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015
Suriname,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015
Trinidad and Tobago,41,6.168,1.21183,0.61483,0.55884,0.0114,0.31844,2015
El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,2015
Guatemala,43,6.123,0.74553,0.64425,0.57733,0.09472,0.27489,2015
Uzbekistan,44,6.003,0.63244,0.59772,0.65821,0.30826,0.22837,2015
Slovakia,45,5.995,1.16891,0.78902,0.31751,0.03431,0.16893,2015
Japan,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,2015
South Korea,47,5.984,1.24461,0.96538,0.33208,0.07857,0.18557,2015
Ecuador,48,5.975,0.86402,0.79075,0.48574,0.1809,0.11541,2015
Bahrain,49,5.96,1.32376,0.74716,0.45492,0.306,0.17362,2015
Italy,50,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,2015
Bolivia,51,5.89,0.68133,0.5392,0.57414,0.088,0.20536,2015
Moldova,52,5.889,0.59448,0.61826,0.32818,0.01615,0.20951,2015
Paraguay,53,5.878,0.75985,0.66098,0.53899,0.08242,0.3424,2015
Kazakhstan,54,5.855,1.12254,0.64368,0.51649,0.08454,0.11827,2015
Slovenia,55,5.848,1.18498,0.87337,0.60855,0.03787,0.25328,2015
Lithuania,56,5.833,1.14723,0.73128,0.21342,0.01031,0.02641,2015
Nicaragua,57,5.828,0.59325,0.74314,0.55475,0.19317,0.27815,2015
Peru,58,5.824,0.90019,0.73017,0.41496,0.05989,0.14982,2015
Belarus,59,5.813,1.03192,0.73608,0.37938,0.1909,0.11046,2015
Poland,60,5.791,1.12555,0.77903,0.53122,0.04212,0.16759,2015
Malaysia,61,5.77,1.12486,0.72394,0.53024,0.10501,0.33075,2015
Croatia,62,5.759,1.08254,0.78805,0.25883,0.0243,0.05444,2015
Libya,63,5.754,1.13145,0.7038,0.41668,0.11023,0.18295,2015
Russia,64,5.716,1.13764,0.66926,0.36679,0.03005,0.00199,2015
Jamaica,65,5.709,0.81038,0.68741,0.50442,0.02299,0.2123,2015
North Cyprus,66,5.695,1.20806,0.92356,0.49027,0.1428,0.26169,2015
Cyprus,67,5.689,1.20813,0.92356,0.40672,0.06146,0.30638,2015
Algeria,68,5.605,0.93929,0.61766,0.28579,0.17383,0.07822,2015
Kosovo,69,5.589,0.80148,0.63132,0.24749,0.04741,0.2831,2015
Turkmenistan,70,5.548,0.95847,0.53886,0.4761,0.30844,0.16979,2015
Mauritius,71,5.477,1.00761,0.7095,0.56066,0.07521,0.37744,2015
Hong Kong,72,5.474,1.38604,1.01328,0.59608,0.37124,0.39478,2015
Estonia,73,5.429,1.15174,0.77361,0.44888,0.15184,0.0868,2015
Indonesia,74,5.399,0.82827,0.63793,0.46611,0.0,0.51535,2015
Vietnam,75,5.36,0.63216,0.74676,0.59444,0.10441,0.1686,2015
Turkey,76,5.332,1.06098,0.73172,0.22815,0.15746,0.12253,2015
Kyrgyzstan,77,5.286,0.47428,0.65088,0.43477,0.04232,0.3003,2015
Nigeria,78,5.268,0.65435,0.16007,0.34334,0.0403,0.27233,2015
Bhutan,79,5.253,0.77042,0.57407,0.53206,0.15445,0.47998,2015
Azerbaijan,80,5.212,1.02389,0.64045,0.3703,0.16065,0.07799,2015
Pakistan,81,5.194,0.59543,0.51466,0.12102,0.10464,0.33671,2015
Jordan,82,5.192,0.90198,0.69639,0.40661,0.14293,0.11053,2015
Montenegro,82,5.192,0.97438,0.72521,0.1826,0.14296,0.1614,2015
China,84,5.14,0.89012,0.81658,0.51697,0.02781,0.08185,2015
Zambia,85,5.129,0.47038,0.29924,0.48827,0.12468,0.19591,2015
Romania,86,5.124,1.04345,0.7689,0.35068,0.00649,0.13748,2015
Serbia,87,5.123,0.92053,0.74836,0.20107,0.02617,0.19231,2015
Portugal,88,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,2015
Latvia,89,5.098,1.11312,0.72437,0.29671,0.06332,0.18226,2015
Philippines,90,5.073,0.70532,0.58114,0.62545,0.12279,0.24991,2015
Somaliland region,91,5.057,0.18847,0.43873,0.46582,0.39928,0.50318,2015
Morocco,92,5.013,0.73479,0.60954,0.41691,0.08546,0.07172,2015
Macedonia,93,5.007,0.91851,0.73545,0.33457,0.05327,0.22359,2015
Mozambique,94,4.971,0.08308,0.09131,0.34037,0.15603,0.22269,2015
Albania,95,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,2015
Bosnia and Herzegovina,96,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,2015
Lesotho,97,4.898,0.37545,0.07612,0.31767,0.12504,0.16388,2015
Dominican Republic,98,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,2015
Laos,99,4.876,0.59066,0.54909,0.59591,0.24249,0.42192,2015
Mongolia,100,4.874,0.82819,0.60268,0.43626,0.02666,0.3323,2015
Swaziland,101,4.867,0.71206,0.07566,0.30658,0.0306,0.18259,2015
Greece,102,4.857,1.15406,0.88213,0.07699,0.01397,0.0,2015
Lebanon,103,4.839,1.02564,0.83947,0.33916,0.04582,0.21854,2015
Hungary,104,4.8,1.12094,0.75905,0.32112,0.02758,0.128,2015
Honduras,105,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,2015
Tajikistan,106,4.786,0.39047,0.57379,0.47216,0.15072,0.22974,2015
Tunisia,107,4.739,0.88113,0.73793,0.26268,0.06358,0.06431,2015
Palestinian Territories,108,4.715,0.59867,0.66015,0.24499,0.12905,0.11251,2015
Bangladesh,109,4.694,0.39753,0.60164,0.4082,0.12569,0.21222,2015
Iran,110,4.686,1.0088,0.69805,0.30033,0.05863,0.38086,2015
Ukraine,111,4.681,0.79907,0.6739,0.25123,0.02961,0.15275,2015
Iraq,112,4.677,0.98549,0.60237,0.0,0.13788,0.17922,2015
South Africa,113,4.642,0.92049,0.27688,0.33207,0.08884,0.11973,2015
Ghana,114,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,2015
Zimbabwe,115,4.61,0.271,0.33475,0.25861,0.08079,0.18987,2015
Liberia,116,4.571,0.0712,0.34201,0.28531,0.06232,0.24362,2015
India,117,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,2015
Sudan,118,4.55,0.52107,0.36878,0.10081,0.1466,0.19062,2015
Haiti,119,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,2015
Congo (Kinshasa),120,4.517,0.0,0.09806,0.22605,0.07625,0.24834,2015
